State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
Alabama,"13,000",5800,63300,54200,441200,100,100,0,0,4102200,127000,29000
Alaska,"2,700",900,10600,9600,46800,0,0,0,0,454300,29800,5100
Arizona,"89,800",25600,175700,68600,437100,600,700,0,0,5469000,197700,64200
Arkansas,"7,100",3200,37000,37000,276700,200,0,0,0,2246100,90700,10300
California,"1,256,600",410700,1703200,201600,1314600,10100,1500,16900,0,31191900,735300,7900
Colorado,"90,100",37500,152700,68100,334300,300,100,0,0,4508800,203400,46500
Connecticut,"31,600",18400,75300,10900,133600,100,0,0,0,2612600,42300,20900
Delaware,"8,400",3800,22900,5100,63900,0,0,0,0,791300,14200,5100
District of Columbia,"8,100",3700,18100,400,16800,100,0,0,0,262500,1800,600
Florida,"254,900",57300,414500,170500,1101100,400,100,0,0,16136500,351800,96100
Georgia,"92,400",22700,175300,92500,719400,300,200,0,0,8256400,206300,76900
Hawaii,"25,600",7300,36400,3400,37300,0,0,0,0,951000,15400,3700
Idaho,"8,500",4600,43700,45900,132900,100,100,0,0,1568600,138600,31600
Illinois,"99,600",33400,285400,61500,772900,300,0,0,0,8560300,170200,59600
Indiana,"26,100",12900,119100,56300,576300,300,0,0,0,5166200,156400,58500
Iowa,"9,000",6100,57200,41700,331300,100,0,0,0,2545400,105000,57500
Kansas,"11,300",5600,50400,27900,253500,200,100,0,0,2168600,87400,16100
Kentucky,"11,600",5600,67100,36900,361200,300,0,0,0,3415000,117600,24400
Louisiana,"8,200",4000,40200,64200,380100,100,0,0,0,3142800,115500,19100
Maine,"7,400",7600,33600,12000,104500,0,0,0,0,1036100,26900,7900
Maryland,"72,100",31300,168700,32100,309300,300,0,0,0,4327800,86900,31500
Massachusetts,"73,800",43800,187300,21300,285000,200,0,0,0,4791300,58400,30000
Michigan,"50,300",29100,148100,70400,873700,300,0,0,0,7129600,174500,49400
Minnesota,"37,100",16100,124500,52700,516400,100,0,0,0,4219200,127900,24500
Mississippi,"3,600",2000,28200,34900,295200,100,0,0,0,2275600,75200,8500
Missouri,"26,900",13900,113900,70400,575500,900,100,0,0,4608600,178200,37600
Montana,"4,600",2500,21100,37900,94500,0,0,0,0,780700,69600,10800
Nebraska,"6,900",3800,32600,28900,197100,100,0,0,0,1600400,76100,25300
Nevada,"47,400",10600,69600,27200,125600,200,100,0,0,2169300,85800,20300
New Hampshire,"9,900",6600,36800,13900,89600,100,0,0,0,1185300,29200,12300
New Jersey,"134,800",40900,174200,27800,392100,300,0,0,0,6433000,84600,36400
New Mexico,"10,300",4900,44300,32100,151600,100,100,0,0,1597600,88500,22900
New York,"131,300",92300,314000,54300,591100,400,100,0,0,9905500,150500,79100
North Carolina,"70,200",23700,210600,80200,655000,300,100,0,0,7764000,209700,71700
North Dakota,"1,000",800,8200,20400,89900,0,0,0,0,625300,44600,7200
Ohio,"50,400",24000,199800,70300,833500,700,100,0,0,8881400,196200,60900
Oklahoma,"22,800",33000,56400,63100,352400,1800,200,0,0,3567500,145700,45000
Oregon,"64,400",28800,156900,55500,184600,100,100,0,0,3074300,217000,51000
Pennsylvania,"70,200",38900,245400,73900,661700,500,100,0,0,8886400,192100,41800
Rhode Island,"6,400",5100,22100,3100,41900,0,0,0,0,782000,11000,6000
South Carolina,"20,900",9000,83100,44600,404600,100,100,0,0,4325000,110100,44900
South Dakota,"1,700",1300,11900,21500,98800,0,0,0,0,718300,51200,13300
Tennessee,"33,200",11000,113300,53100,509000,200,100,0,0,5620500,160700,37700
Texas,"230,100",55300,445100,460700,2315400,1300,1300,0,0,21392800,772800,121800
Utah,"40,000",13000,83200,68500,185200,2200,500,0,0,2499600,158000,26000
Vermont,"7,800",5700,20300,7000,36600,0,0,0,0,496000,14700,5000
Virginia,"84,900",26800,229400,44300,484800,300,0,0,0,6670000,152800,30200
Washington,"152,100",41200,307200,73800,337700,100,100,0,0,5583000,274200,46700
West Virginia,"2,800",1800,22400,17300,123400,100,0,0,0,1281500,46400,15200
Wisconsin,"24,900",12500,123600,52900,536200,300,0,0,0,4604700,147500,26400
Wyoming,"1,100",800,8400,21200,57700,0,0,0,0,489100,60900,13700
